Date,Product_ID,Sales_Channel,Unit_Price,Quantity_Sold,Sales_Amount
2024-02-21 00:00:00,14,Partner,82.81,8,662.48
2024-01-15 00:00:00,5,Partner,80.94,18,1456.92
2024-03-12 00:00:00,15,Online,71,1,71
2024-03-01 00:00:00,17,In-Store,30.85,8,246.8
2024-01-21 00:00:00,14,In-Store,61.07,6,366.42
2024-03-23 00:00:00,20,In-Store,39.29,5,196.45
2024-03-27 00:00:00,5,Online,13.7,15,205.5
2024-03-15 00:00:00,12,Partner,92.14,15,1382.1
2024-03-15 00:00:00,16,In-Store,18,2,36
2024-03-28 00:00:00,16,In-Store,95.27,1,95.27
2024-01-24 00:00:00,7,Online,47.37,11,521.07
2024-01-03 00:00:00,4,In-Store,22.59,10,225.9
2024-01-22 00:00:00,1,Online,56.48,18,1016.64
2024-02-22 00:00:00,5,Partner,87.93,18,1582.74
2024-01-02 00:00:00,10,Online,74.56,17,1267.52
2024-03-28 00:00:00,5,Online,81.62,8,652.96
2024-01-30 00:00:00,4,Online,67.58,15,1013.7
2024-02-07 00:00:00,2,Online,70.77,8,566.16
2024-01-02 00:00:00,20,Partner,85.67,17,1456.39
2024-03-04 00:00:00,10,Partner,28.72,12,344.64
2024-02-29 00:00:00,19,In-Store,51.5,8,412
2024-01-21 00:00:00,1,Partner,26.01,14,364.14
2024-02-02 00:00:00,5,Partner,98.83,4,395.32
2024-03-16 00:00:00,13,In-Store,94.69,1,94.69
2024-02-27 00:00:00,4,Partner,8.75,1,8.75
2024-01-22 00:00:00,16,Online,72.03,19,1368.57
2024-03-29 00:00:00,16,Online,92.9,16,1486.4
2024-02-18 00:00:00,2,In-Store,22.15,14,310.1
2024-02-28 00:00:00,17,In-Store,58.95,16,943.2
2024-02-11 00:00:00,20,In-Store,91.97,5,459.85
2024-02-29 00:00:00,12,Online,8.22,9,73.98
2024-03-20 00:00:00,18,Partner,71.25,2,142.5
2024-01-15 00:00:00,3,Online,33.25,18,598.5
2024-03-02 00:00:00,1,In-Store,92.82,6,556.92
2024-03-02 00:00:00,1,Partner,97.25,9,875.25
2024-02-16 00:00:00,19,Partner,94.71,1,94.71
2024-03-02 00:00:00,11,Online,50.05,9,450.45
2024-02-20 00:00:00,5,In-Store,86.89,16,1390.24
2024-02-24 00:00:00,12,Online,85.23,13,1107.99
2024-03-04 00:00:00,3,Partner,35.31,9,317.79
2024-01-03 00:00:00,1,Online,83.75,13,1088.75
2024-02-20 00:00:00,1,Online,8.52,9,76.68
2024-01-07 00:00:00,8,In-Store,61.65,11,678.15
2024-01-21 00:00:00,10,In-Store,26.85,4,107.4
2024-03-13 00:00:00,11,Partner,16.45,2,32.9
2024-02-08 00:00:00,12,Online,12.31,6,73.86
2024-01-18 00:00:00,13,Online,71.15,14,996.1
2024-01-04 00:00:00,12,Online,37.29,4,149.16
2024-03-29 00:00:00,14,Partner,73.85,6,443.1
2024-02-29 00:00:00,2,Partner,11.21,19,212.99
2024-01-14 00:00:00,19,In-Store,34.95,6,209.7
2024-01-09 00:00:00,18,In-Store,56.25,2,112.5
2024-03-30 00:00:00,3,In-Store,80.12,18,1442.16
2024-02-22 00:00:00,17,Online,35.28,13,458.64
2024-01-02 00:00:00,8,Online,64.46,9,580.14
2024-03-24 00:00:00,10,In-Store,89.17,19,1694.23
2024-02-29 00:00:00,2,Online,63.51,13,825.63
2024-03-11 00:00:00,19,In-Store,27.13,11,298.43
2024-02-13 00:00:00,9,Partner,7.32,1,7.32
2024-01-08 00:00:00,7,In-Store,87.66,7,613.62
2024-02-16 00:00:00,4,Partner,7.02,15,105.3
2024-02-04 00:00:00,18,Online,88.1,1,88.1
2024-03-18 00:00:00,13,In-Store,55.25,12,663
2024-03-21 00:00:00,11,Online,94.21,7,659.47
2024-02-05 00:00:00,4,Partner,80.88,15,1213.2
2024-02-19 00:00:00,4,Partner,99.8,19,1896.2
2024-01-04 00:00:00,10,Partner,38.32,1,38.32
2024-01-02 00:00:00,5,Online,77.88,17,1323.96
2024-01-06 00:00:00,9,Online,43.18,17,734.06
2024-02-23 00:00:00,3,Online,50.59,3,151.77
2024-01-04 00:00:00,17,Online,64.61,12,775.32
2024-02-23 00:00:00,3,Partner,88,6,528
2024-03-03 00:00:00,16,Partner,98.49,11,1083.39
2024-01-18 00:00:00,4,In-Store,77.99,3,233.97
2024-03-30 00:00:00,18,In-Store,44.69,8,357.52
2024-02-13 00:00:00,17,Online,45.03,14,630.42
2024-02-03 00:00:00,7,Partner,75.07,14,1050.98
2024-03-14 00:00:00,5,Partner,27.68,10,276.8
2024-03-02 00:00:00,12,Partner,15.5,2,31
2024-01-14 00:00:00,17,In-Store,38.69,14,541.66
2024-02-17 00:00:00,13,In-Store,32.29,9,290.61
2024-01-15 00:00:00,3,Partner,33.15,3,99.45
2024-03-12 00:00:00,9,Partner,27.19,8,217.52
2024-03-18 00:00:00,17,Partner,9,16,144
2024-03-27 00:00:00,17,In-Store,6.7,2,13.4
2024-03-02 00:00:00,20,Partner,98.83,6,592.98
2024-02-09 00:00:00,16,Partner,45.64,12,547.68
2024-03-25 00:00:00,13,Online,41.51,5,207.55
2024-03-20 00:00:00,19,Online,69.57,2,139.14
2024-03-22 00:00:00,17,In-Store,25.73,16,411.68
2024-02-22 00:00:00,4,Partner,95.25,5,476.25
2024-01-24 00:00:00,12,Partner,79.7,15,1195.5
2024-01-26 00:00:00,9,Online,13.49,12,161.88
2024-03-29 00:00:00,19,In-Store,44.67,4,178.68
2024-02-29 00:00:00,12,Online,88.52,15,1327.8
2024-02-10 00:00:00,9,Online,94.75,11,1042.25
2024-01-29 00:00:00,7,Online,49.4,16,790.4
2024-01-15 00:00:00,14,Online,63.27,6,379.62
2024-02-14 00:00:00,20,Partner,20.87,14,292.18
2024-03-05 00:00:00,19,Partner,99.16,18,1784.88
2024-03-29 00:00:00,15,Online,27.01,12,324.12
2024-03-11 00:00:00,16,In-Store,94.56,11,1040.16
2024-01-09 00:00:00,5,In-Store,66.72,13,867.36
2024-03-28 00:00:00,3,In-Store,62.73,11,690.03
2024-01-01 00:00:00,12,In-Store,53.71,16,859.36
2024-01-08 00:00:00,20,Online,26.91,15,403.65
